author,content
"
穿裤头去打醋
",情人节，跟老婆出门逛街，路过花店，想进去买束鲜花送给她，看到价格11支鲜花包好要198元，老婆就给我说，买那干什么，平时3_5块钱的东西，现在这么贵，有那200块钱，能买多少好吃的，别花那冤枉钱了。你上班这么辛苦，我不要你给我买东西，只要你疼我就够了。老婆的一番话说的我顿时感动不已。然后刚感受到幸福两分钟，她转身拉我去了苹果店，用我工资卡刷了一个她念叨已久的手机。  哎，大意了。
"
夏有凉风秋望月
",前一段时间买了一瓶撕拉式手膜，用了一次，涂上去的时候还是 挺 舒 服的，清清凉凉的感觉，等到撕的时候，汗毛都撕下来了，疼的我再也没用过！昨天晚上我突发奇想，脚上没有汗毛，应该可以当脚膜用吧！于是我就涂了上去，等到 膜 干了 往下撕的时候把我脚的干皮都撕下来了，特么的疼死我了！比撕汗毛还疼！我再买这种手膜，谁是狗狗！
"
璃白°
",小时候胆子特小，晚上睡觉时，听到一点动静，就钻进被窝，结果养成了蒙头大睡的坏毛病，书上也说这样睡觉不好，却总是改不了。直到前几年嫁人了，老公不抽烟不喝酒，却喜欢吃炒黄豆和烤红薯。半个月后，我就彻底改变了这个坏毛病。
"
正版煮茶
",那年，我堂弟报考一个大学，分数够了，得知还要体检，那年身高要求特别严格，他身高还差两公分。他很难过，体检前一天晚上灌了一瓶二锅头借酒浇愁，喝完踉踉跄跄走在街上，一头撞墙根上。第二天，他体检通过了，头顶肿起的包，把身高测量尺顶的老高...
"
衣锦夜行的小王子
",八岁小外甥跟我说，他喜欢上了一个小女孩。我问他你知道什么是喜欢吗？他说：我不喜欢胖的但她胖就没事
"
狐地瓜大人
",办了张洗车卡，洗车工是一老大爷，颤颤巍巍的洗车，车子没洗干净，也不好意思让老大爷返工。我开车离开，想着用完卡以后再也不来了。最后一次洗车时是一漂亮妹子接待的，妹子不仅干活麻利而且特会聊天，忽悠我又续办了洗车卡！再来洗车时，洗车工又变成了之前的老大爷…
"
花开二零二一
",一个小孩儿在车上痛哭流涕，我默默弟入上纸巾一张，孩子妈妈愣了一下，默默接过，用纸巾把孩子的嘴堵上。。
"
猫叔．
",二十多岁的时候，跟一个妹子闲聊说，我的择偶要求不高，通情达理就行，她听了呵呵一笑，低下头仿佛自言自语的说：“ 通情达理……”我当时就觉得很奇怪，这很难么？讲道理不是每个人都应该的吗？……这么多年过去了，现在终于明白，跟女人讲道理就像摁老虎吃白菜…
"
鱼歌浅唱
",单位一白莲花体质的妹子调离，大家在商量要不要例行公事开个欢送会。婷婷“如果白莲花不参加，我同意！”
"
老毛的酒
",和一朋友喝酒🍻朋友：我前两天和初恋女友见面了...我：这么巧。朋友：多年未见概慨颇多，一起吃了饭也喝了酒，她喝多了。我：有故事[嘿嘿]朋友：我送她回了酒店......我：来来来，喝一杯然后慢慢讲[嘿嘿]朋友：把她送回酒店后我就走了...[哀怨]我：就没发生点什么[疑问]朋友：我扶她时攥住她的手腕[惊讶]发现她是喜脉[哀怨]
